query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
357.24594,HMDB0014648,Tridihexethyl,C07861,C21H36NO,318.2796898,M+K,+,357.242848,9
357.24594,HMDB0039880,1-formylneogrifolin,n/a,C23H32O3,356.2351449,M+H,+,357.242421,10
357.24594,HMDB0060044,"(4Z,7Z,10E,12E,16Z)-18-(3-ethylcycloprop-1-en-1-yl)-14-hydroxyoctadeca-4,7,10,12,16-pentaenoic acid",n/a,C23H32O3,356.2351449,M+H,+,357.242421,10
370.03884,HMDB0012467,(-)-epicatechin sulfate,n/a,C15H13O9S,369.0280277,M+H,+,370.035304,10
241.15381,HMDB0015407,Pirbuterol,C07807,C12H20N2O3,240.1473925,M+H,+,241.154669,4
583.25604,HMDB0001008,Biliverdin,C00500,C33H34N4O6,582.2478348,M+H,+,583.255111,2
705.18365,HMDB0176707,"6-({[3,5-dihydroxy-6-(hydroxymethyl)-4-{[3,4,5-trihydroxy-6-({[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxan-2-yl]oxy}oxan-2-yl]oxy}methyl)oxane-2,3,4,5-tetrol",n/a,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0038871,Sesamose,C08248,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0039173,3-beta-Glucosylcellotriose,n/a,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0003553,Stachyose,C01613,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0038490,Bifurcose,n/a,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0035323,Fagopyritol b3,n/a,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0038870,Neobifurcose,n/a,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0039174,3-beta-cellobiosylcellobiose,n/a,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0039176,Nystose,n/a,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0040182,Fagopyritol a3,n/a,C24H42O21,666.2218584,M+K,+,705.185016,2
705.18365,HMDB0029931,Mannan,C00464,C24H42O21,666.2218584,M+K,+,705.185016,2
